#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_shaolin_monks;Shaolin Monks;Moine de Shaolin;Shaolin Mönch;;Monje Shaolin;;;;;;;;;x
d_shaolin_monks_adj;Shaolin;Shaolin;Shaolin;;Shaolin;;;;;;;;;x
d_sohei;Sohei;Sohei;Sohei;;Sohei;;;;;;;;;x
d_sohei_adj;Sohei;Sohei;Sohei;;Sohei;;;;;;;;;x
d_xiang_company;Xiang Company;;;;;;;;;;;;;x
d_xiang_company_adj;Chinese;Chinois;Chinesisch;;Chino;;;;;;;;;x
d_xiang_band;Xiang Band;;;;;;;;;;;;;x
d_xiang_band_adj;Chinese;Chinois;Chinesisch;;Chino;;;;;;;;;x
d_yulin_guard;Yu Lin Guard;;;;;;;;;;;;;x
d_yulin_guard_adj;Chinese;Chinois;Chinesisch;;Chino;;;;;;;;;x
d_longwu_guard;Long Wu Guard;;;;;;;;;;;;;x
d_longwu_guard_adj;Chinese;Chinois;Chinesisch;;Chino;;;;;;;;;x
d_shenwu_guard;Shen Wu Guard;;;;;;;;;;;;;x
d_shenwu_guard_adj;Chinese;Chinois;Chinesisch;;Chino;;;;;;;;;x
d_shence_guard;Shen Ce Guard;;;;;;;;;;;;;x
d_shence_guard_adj;Chinese;Chinois;Chinesisch;;Chino;;;;;;;;;x
d_ainu_company;Ainu Company;;;;;;;;;;;;;x
d_ainu_company_adj;Ainu;;;;;;;;;;;;;x
d_ainu_band;Ainu Band;;;;;;;;;;;;;x
d_ainu_band_adj;Ainu;;;;;;;;;;;;;x
d_ronin_band;Ronin Band;;;;;;;;;;;;;x
d_ronin_band_adj;Ronin;;;;;;;;;;;;;x
d_yojimbo;Yojimbo;Yojimbo;Yojimbo;;Yojimbo;;;;;;;;;x
d_yojimbo_adj;Yojimbo;Yojimbo;Yojimbo;;Yojimbo;;;;;;;;;x
e_mongol_china;Mongol Empire;;;;;;;;;;;;;x;;;;;;;;;;;;;x
e_golden_river;Empire of the Golden River;;;;;;;;;;;;;x
e_northern_steppe;Empire of the Northern Steppe;;;;;;;;;;;;;x
e_great_wall;Empire of the Great Wall;;;;;;;;;;;;;x
e_black_turtle;Empire of the Black Turtle;;;;;;;;;;;;;x
e_yellow_dragon;Empire of the Yellow Dragon;;;;;;;;;;;;;x
e_azure_dragon;Empire of the Azure Dragon;;;;;;;;;;;;;x
e_white_tiger;Empire of the White Tiger;;;;;;;;;;;;;x
e_vermilion_bird;Empire of the Vermilion Bird;;;;;;;;;;;;;x
k_yamatai;Yamatai;Yamatai;Yamatai;;Yamatai;;;;;;;;;x
e_jade_gate;Empire of the Jade Gate;;;;;;;;;;;;;x
k_gaya;Gaya Confederacy;Confédération Gaya;Gaya Konföderation;;Confederación de Gaya;;;;;;;;;x
