#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#Credit to Keizer Harm for a good amount of this
# After much deliberation I settled on the present participle of yupaychay, "to worship", in the Cuzco dialect. Trust, me finding a proper name for the Inca religion took hours. - KH
inca_religion;Yupaychaspa;;;;;;;;;;;;;x
inca_religion_DESC;The Inca religion of Yupaychaspa is a polytheistic faith system with the sun god Inti at the head.;;;;;;;;;;;;;x
inca_religion_reformed;Yupaychaspa;;;;;;;;;;;;;x
inca_religion_reformed_DESC;The Inca religion of Yupaychaspa is a polytheistic faith system with the sun god Inti at the head.;;;;;;;;;;;;;x
GOD_INTI;Inti;;;;;;;;;;;;;x
GOD_VIRACOCHA;Viracocha;;;;;;;;;;;;;x
GOD_ILLAPA;Illapa;;;;;;;;;;;;;x
GOD_MAMA_KILLA;Mama Killa;;;;;;;;;;;;;x
GOD_MAMA_PACHA;Mama Pacha;;;;;;;;;;;;;x
GOD_MAMA_COCHA;Mama Cocha;;;;;;;;;;;;;x
GOD_SUPAY;Supay;;;;;;;;;;;;;x
andean;Andean;;;;;;;;;;;;;x
quechua;Quechua;;;;;;;;;;;;;x
e_tawantinsuyu;Inca Empire;;;;;;;;;;;;;x
e_tawantinsuyu_adj;Inca;;;;;;;;;;;;;x
d_acllahuasi;Acllahuasi;;;;;;;;;;;;;x
d_acllahuasi_adj;Acllahuasi;;;;;;;;;;;;;x
COYA_PASCA;Coya Pasca;;;;;;;;;;;;;x
d_sapa_inca;Cult of Inti;;;;;;;;;;;;;x
d_sapa_inca_adj;Inca;;;;;;;;;;;;;x
SAPA_INCA;Sapa Inca;;;;;;;;;;;;;x
SAPA_INCA_FOA;Your Radiant Majesty;;;;;;;;;;;;;x
d_sunray_knights;Children of the Light;;;;;;;;;;;;;x
d_sunray_knights_adj;Children of the Light;;;;;;;;;;;;;x
emperor_inca_culture;Sapa Inca;;;;;;;;;;;;;x
emperor_female_inca_culture;[GetIncaEmpress];;;;;;;;;;;;;x
STRING_INCA_QUEEN_CONSORT;Coya;;;;;;;;;;;;;x
STRING_INCA_QUEEN_REGNANT;Sapa Inca;;;;;;;;;;;;;x
king_inca_culture;Apu;;;;;;;;;;;;;x
king_female_inca_culture;Apu;;;;;;;;;;;;;x
kingdom_of_inca_culture;Suyu of;;;;;;;;;;;;;x
kingdom_inca_culture;Suyu;;;;;;;;;;;;;x
duke_inca_culture;Toqrikoq;;;;;;;;;;;;;x
duke_female_inca_culture;Toqrikoq;;;;;;;;;;;;;x
duchy_of_inca_culture;Wamani of;;;;;;;;;;;;;x
duchy_inca_culture;Wamani;;;;;;;;;;;;;x
count_inca_culture;Kuraka;;;;;;;;;;;;;x
count_female_inca_culture;Kuraka;;;;;;;;;;;;;x
county_of_inca_culture;Saya of;;;;;;;;;;;;;x
county_inca_culture;Saya;;;;;;;;;;;;;x
baron_inca_culture;Kamayuq;;;;;;;;;;;;;x
baron_female_inca_culture;Kamayuq;;;;;;;;;;;;;x
barony_of_inca_culture;Pukara of;;;;;;;;;;;;;x
barony_inca_culture;Pukara;;;;;;;;;;;;;x
city_barony_of_inca_culture;Llaqta of;;;;;;;;;;;;;x
city_barony_inca_culture;Llaqta;;;;;;;;;;;;;x
title_prince_inca_culture;Auqui;;;;;;;;;;;;;x
title_prince_female_inca_culture;Nusta;;;;;;;;;;;;;x
RETTYPE_CUL_INCA;Awqapuriq;;;;;;;;;;;;;x
RULE_INCA_INVASION;Inca Invasion;;;;;;;;;;;;;x
RULE_INCA_INVASION_HISTORICAL;13th Century;;;;;;;;;;;;;x
RULE_INCA_INVASION_HISTORICAL_DESC;The Inca Invasion will occur at the very earliest in the 13th century.;;;;;;;;;;;;;x
RULE_INCA_INVASION_RANDOM;Random;;;;;;;;;;;;;x
RULE_INCA_INVASION_RANDOM_DESC;The Inca Invasion will occur at a random date, though at the earliest 50 years after that game is started.;;;;;;;;;;;;;x
RULE_OPTION_DELAYED_RANDOM;Delayed Random;;;;;;;;;;;;;x
RULE_INCA_INVASION_DELAYED_RANDOM_DESC;The Inca Invasion will occur at a random date, though at the earliest at the year 1000, and 50 years after the game has started.;;;;;;;;;;;;;x
RULE_INCA_INVASION_OFF;Off;;;;;;;;;;;;;x
RULE_INCA_INVASION_OFF_DESC;The Inca Invasion will not occur.;;;;;;;;;;;;;x
religion_feature_inca;The Unconquered Sun;;;;;;;;;;;;;x
religion_feature_inca_desc;All shall bow before the might of my blessed realm, and none shall question my rule!;;;;;;;;;;;;;x
INCA_RELENTLESS_RELIGION;Relentless;;;;;;;;;;;;;x
