#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kaifeng;Kaifeng;;;;;;;;;;;;;x
kashmiri;Kashmiri;;;;;;;;;;;;;x
#ca_culture_chinese_1;Crossbow Range I;;;;;;;;;;;;;x
#ca_culture_chinese_1_desc;The military engineers of China are known to produce some of the finest weapons of war, where the equally skilled arbalests can equipped with them. Here they can practice with their powerful crossbows.;;;;;;;;;;;;;x
#ca_culture_chinese_2;Crossbow Range II;;;;;;;;;;;;;x
#ca_culture_chinese_3;Crossbow Range III;;;;;;;;;;;;;x
#ca_culture_chinese_4;Crossbow Range IV;;;;;;;;;;;;;x
ca_alchemist_chinese_1;Lianjin Shushi I;;;;;;;;;;;;x
ca_alchemist_chinese_2;Lianjin Shushi II;;;;;;;;;;;;x
ca_alchemist_chinese_1_desc;A site for alchemy outside the city walls. Here monks will prepare many chemical elixirs for medicinal or magical purposes.;;;;;;;;;;;;x
ca_alchemist_chinese_2_desc;A site for alchemy inside the castle itself. Here a personal Alchemist will work on chemical elixirs for both warfare and medicine.;;;;;;;;;;;;x
RETTYPE_CUL_CHIN;Chariot;;;;;;;;;;;;;x
fire_lances;Fire Lances;;;;;;;;;;;;x
RETTYPE_FIRELANCE;Fire Lances;;;;;;;;;;;;x
gov_celestial_empire;Celestial Empire;;;;;;;;;;;;;x
gov_duchy_viceroy_china;[Liege.PrimaryTitle.GetName] Administrative Circuit;;;;;;;;;;;;;x
gov_king_viceroy_china;[Liege.PrimaryTitle.GetName] Military Commandery;;;;;;;;;;;;;x
yue;Yue;;;;;;;;;;;;;x
bai;Bai;;;;;;;;;;;;;x
nakhi;Nakhi;;;;;;;;;;;;;x
min;Min;;;;;;;;;;;;;x
yi;Yi;;;;;;;;;;;;;x
qiang;Qiang;;;;;;;;;;;;;x
tujia;Tujia;;;;;;;;;;;;;x
she;She;;;;;;;;;;;;;x
japonic;Japonic;;;;;;;;;;;;;x
ca_culture_japanese_1;Samurai Dojo I;;;;;;;;;;;;;x
ca_culture_japanese_1_desc;These fearless warriors of the Samurai order are trained here. Covered in armor head to toe, they represent ideal lifestyle of that of a warrior in Japan.;;;;;;;;;;;;;x
ca_culture_japanese_2;Samurai Dojo II;;;;;;;;;;;;;x
ca_culture_japanese_3;Samurai Dojo III;;;;;;;;;;;;;x
ca_culture_japanese_4;Samurai Dojo IV;;;;;;;;;;;;;x
RETTYPE_CUL_JAPAN;Samurai;;;;;;;;;;;;;x
gov_shogunate;[Root.PrimaryTitle.GetName] Bakufu;;;;;;;;;;;;;x
gov_tenno;Imperial Throne;;;;;;;;;;;;;x
japanese;Japanese;;;;;;;;;;;;;x
ryukyuan;Ryukyuan;;;;;;;;;;;;;x
ainu;Ainu;;;;;;;;;;;;;x
RETTYPE_CUL_AINU;Emushi;;;;;;;;;;;;;x
koreanic;Koreanic;;;;;;;;;;;;;x
korean;Korean;;;;;;;;;;;;;x
jeju;Jeju;;;;;;;;;;;;;x
RETTYPE_CUL_KOR;Hwarang;;;;;;;;;;;;;x
ainu_pagan_reformed;Ainu;;;;;;;;;;;;;x
ainu_pagan_reformed_DESC;The reformed Ainu faith has a Holy Book with a creation myth, chapters on the Kamuis. The church also has a standardized liturgy and a formal church hierarchy led by the High Priest, who can be vassalized by secular rulers.;;;;;;;;;;;;;x
d_ainu_pagan_reformed;The Ainu Church;;;;;;;;;;;;;x
d_ainu_pagan_reformed_adj;Ainu;;;;;;;;;;;;;x
ainu_pagan;Ainu;;;;;;;;;;;;;x
