#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
shinto_opinion;Shinto opinion;;;;;;;;;;;;x
chinese_pagan_opinion;[chinese_pagan.GetName] opinion;;;;;;;;;;;;x
chinese_pagan_reformed_opinion;Shenist opinion;;;;;;;;;;;;x
korean_pagan_opinion;[korean_pagan.GetName] opinion;;;;;;;;;;;;x
korean_pagan_reformed_opinion;Muist opinion;;;;;;;;;;;;x
ainu_pagan_opinion;[ainu_pagan.GetName] opinion;;;;;;;;;;;;x
ainu_pagan_reformed_opinion;Ainu opinion;;;;;;;;;;;;x
ryukyuan_pagan_opinion;[ryukyuan_pagan.GetName] opinion;;;;;;;;;;;;x
ryukyuan_pagan_reformed_opinion;Ryukyuan opinion;;;;;;;;;;;;x
dayak_pagan_opinion;[dayak_pagan.GetName] opinion;;;;;;;;;;;;x
dayak_pagan_reformed_opinion;Kaharingan opinion;;;;;;;;;;;;x
melanesian_pagan_opinion;[melanesian_pagan.GetName] opinion;;;;;;;;;;;;x
melanesian_pagan_reformed_opinion;Melanesian opinion;;;;;;;;;;;;x
sanamahi_pagan_opinion;[sanamahi_pagan.GetName] opinion;;;;;;;;;;;;x
sanamahi_pagan_reformed_opinion;Sanamahi opinion;;;;;;;;;;;;x
viet_pagan_opinion;[viet_pagan.GetName] opinion;;;;;;;;;;;;x
viet_pagan_reformed_opinion;Thanist opinion;;;;;;;;;;;;x
japanese_opinion;Japanese opinion;;;;;;;;;;;;x
viet_opinion;Viet opinion;;;;;;;;;;;;x
chinese_opinion;Chinese opinion;;;;;;;;;;;;x
malay_opinion;Malay opinion;;;;;;;;;;;;x
korean_opinion;Korean opinion;;;;;;;;;;;;x
mon_khmer_opinion;Mon Khmer opinion;;;;;;;;;;;;x
