ca_bureaucratic_center_1;Bureaucratic Center;;;;;;;;;;;;;x
ca_bureaucratic_center_1_desc;A place where government officials can work without interruption, ensuring that triplicate forms will get filed properly in a timely fashion.;;;;;;;;;;;;;x
ca_bureaucratic_center_2;Bureaucratic Center;;;;;;;;;;;;;x
ca_bureaucratic_center_3;Bureaucratic Center;;;;;;;;;;;;;x
ca_bureaucratic_center_4;Bureaucratic Center;;;;;;;;;;;;;x
ca_culture_ainu_1;Arctic Hunting Lodge I;;;;;;;;;;;;;x
ca_culture_ainu_1_desc;The hunting lodges provide a place for hunters to gather before setting off on hunts into the harsh arctic. In times of war, they may turn their weapons on their enemies.;;;;;;;;;;;;;x
ca_culture_ainu_2;Arctic Hunting Lodge II;;;;;;;;;;;;;x
ca_culture_ainu_3;Arctic Hunting Lodge III;;;;;;;;;;;;;x
ca_culture_ainu_4;Arctic Hunting Lodge IV;;;;;;;;;;;;;x
ca_culture_emishi_1;Emushi Stables I;;;;;;;;;;;;;x
ca_culture_emishi_1_desc;The warriors of the [emishi.GetName] are known for their use of hit-and-run tactics, particularly in conjunction with horse archery. This is especially effective against the slower infantry of their most common opponents.;;;;;;;;;;;;;x
ca_culture_emishi_2;Emushi Stables II;;;;;;;;;;;;;x
ca_culture_emishi_3;Emushi Stables III;;;;;;;;;;;;;x
ca_culture_emishi_4;Emushi Stables IV;;;;;;;;;;;;;x
ca_culture_japanese_1;Samurai Dojo I;;;;;;;;;;;;;x
ca_culture_japanese_1_desc;The elite military aristocracy of the [japanese.GetName], best known as the samurai, are trained here. Clad in heavy armour and often found on horseback, they are the ideal of a warrior in [japanese.GetName] society.;;;;;;;;;;;;;x
ca_culture_japanese_2;Samurai Dojo II;;;;;;;;;;;;;x
ca_culture_japanese_3;Samurai Dojo III;;;;;;;;;;;;;x
ca_culture_japanese_4;Samurai Dojo IV;;;;;;;;;;;;;x
ca_culture_korean_1;Hwarang Academy I;;;;;;;;;;;;;x
ca_culture_korean_1_desc;The Hwarang are a group of young [korean.GetName] nobles who are trained and educated in martial arts, horse riding, archery and discipline. They form a relatively elite and prestigious military force.;;;;;;;;;;;;;x
ca_culture_korean_2;Hwarang Academy II;;;;;;;;;;;;;x
ca_culture_korean_3;Hwarang Academy III;;;;;;;;;;;;;x
ca_culture_korean_4;Hwarang Academy IV;;;;;;;;;;;;;x
ca_culture_malay_1;Orang Laut Embassy I;;;;;;;;;;;;;x
ca_culture_malay_1_desc;The Orang Laut, a group of fierce seafaring peoples, are often useful allies for a ruler in Nusantara to have. By negotiation, various groups of them can be persuaded to march to war through skillful diplomacy and the promise of rich reward.;;;;;;;;;;;;;x
ca_culture_malay_2;Orang Laut Embassy II;;;;;;;;;;;;;x
ca_culture_malay_3;Orang Laut Embassy III;;;;;;;;;;;;;x
ca_culture_malay_4;Orang Laut Embassy IV;;;;;;;;;;;;;x
ca_culture_mekong_1;Hilltop Camps I;;;;;;;;;;;;;x
ca_culture_mekong_1_desc;The hill peoples of southern China and southeast Asia are well-adapted to combat in the mountains and hills of their homeland.;;;;;;;;;;;;;x
ca_culture_mekong_2;Hilltop Camps II;;;;;;;;;;;;;x
ca_culture_mekong_3;Hilltop Camps III;;;;;;;;;;;;;x
ca_culture_mekong_4;Hilltop Camps IV;;;;;;;;;;;;;x
ca_culture_quechua_1;Waraka Training Range I;;;;;;;;;;;;;x
ca_culture_quechua_1_desc;The Waraka slingers of the Inca army are trained from a young age to use their slings for both hunting and self-defense. When wielded effectively, their slings are no less deadly than bows and arrows.;;;;;;;;;;;;;x
ca_culture_quechua_2;Waraka Training Range II;;;;;;;;;;;;;x
ca_culture_quechua_3;Waraka Training Range III;;;;;;;;;;;;;x
ca_culture_quechua_4;Waraka Training Range IV;;;;;;;;;;;;;x
ca_culture_taiwanese_1;Headhunter Camps I;;;;;;;;;;;;;x
ca_culture_taiwanese_1_desc;Headhunting is an important part of the traditions of the [taiwanese.GetName]. In these camps, brave warriors gather to prepare for headhunting raids.;;;;;;;;;;;;;x
ca_culture_taiwanese_2;Headhunter Camps II;;;;;;;;;;;;;x
ca_culture_taiwanese_3;Headhunter Camps III;;;;;;;;;;;;;x
ca_culture_taiwanese_4;Headhunter Camps IV;;;;;;;;;;;;;x
ca_culture_tanka_1;[tanka.GetName] Swordsmiths I;;;;;;;;;;;;;x
ca_culture_tanka_1_desc;The sea-dwelling [tanka.GetName.GetName] give sword-wielding infantry an important place in their armies due to their supposed descent from many legendary swordsmiths renowned for their craftsmanship.;;;;;;;;;;;;;x
ca_culture_tanka_2;[tanka.GetName] Swordsmiths II;;;;;;;;;;;;;x
ca_culture_tanka_3;[tanka.GetName] Swordsmiths III;;;;;;;;;;;;;x
ca_culture_tanka_4;[tanka.GetName] Swordsmiths IV;;;;;;;;;;;;;x
ca_culture_yamato_1;Gundan Offices I;;;;;;;;;;;;;x
ca_culture_yamato_1_desc;These offices handle the conscription and arming of local peasants for war, creating a battle-ready infantry force modelled after the [chinese_group.GetGroupName] army.;;;;;;;;;;;;;x
ca_culture_yamato_2;Gundan Offices II;;;;;;;;;;;;;x
ca_culture_yamato_3;Gundan Offices III;;;;;;;;;;;;;x
ca_culture_yamato_4;Gundan Offices IV;;;;;;;;;;;;;x
ca_fire_lances_1;Gunpowder Manufactory;;;;;;;;;;;;;x
ca_fire_lances_1_desc;The science behind the creation of fireworks also allows for the creation of weapons of war.;;;;;;;;;;;;;x
ca_fire_lances_2;Gunpowder Manufactory;;;;;;;;;;;;;x
ca_fire_lances_3;Gunpowder Manufactory;;;;;;;;;;;;;x
ca_fire_lances_4;Gunpowder Manufactory;;;;;;;;;;;;;x
ca_government_temple_complex_1;Temple Complex;;;;;;;;;;;;;x
ca_government_temple_complex_1_desc;The Temple Complex is a physical representation of the might of the Devaraja that constructed it. Such splendor is a sure sign of true divinity.;;;;;;;;;;;;;x
ca_government_temple_complex_2;Temple Complex;;;;;;;;;;;;;x
ca_government_temple_complex_3;Temple Complex;;;;;;;;;;;;;x
ca_government_temple_complex_4;Temple Complex;;;;;;;;;;;;;x
ca_government_temple_complex_5;Temple Complex;;;;;;;;;;;;;x
ca_government_temple_complex_6;Temple Complex;;;;;;;;;;;;;x
ca_government_temple_complex_7;Temple Complex;;;;;;;;;;;;;x
ca_government_temple_complex_8;Temple Complex;;;;;;;;;;;;;x
ca_government_temple_complex_9;Temple Complex;;;;;;;;;;;;;x
fp_inf_trade_posts;Trade Post Construction Office;;;;;;;;;;;;;x
fp_inf_trade_posts_desc;This family's trade league requires a great many trade posts to function. Luckily, they have the capacity to build them.;;;;;;;;;;;;;x
no_raiding_parties_1;Raiding Parties;;;;;;;;;;;;;x
no_raiding_parties_2;Raiding Parties;;;;;;;;;;;;;x
no_raiding_parties_3;Raiding Parties;;;;;;;;;;;;;x
no_raiding_parties_4;Raiding Parties;;;;;;;;;;;;;x
no_raiding_parties_5;Raiding Parties;;;;;;;;;;;;;x
no_raiding_parties_6;Raiding Parties;;;;;;;;;;;;;x
no_raiding_parties_7;Raiding Parties;;;;;;;;;;;;;x
no_raiding_parties_8;Raiding Parties;;;;;;;;;;;;;x
no_raiding_parties_desc;Regular raids are arranged by the members of the nomadic tribe.;;;;;;;;;;;;;x
no_tent_crafter_1;Tent Crafter;;;;;;;;;;;;;x
