# World regions
world_andamans;Andamans;;;;;;;;;;;;;x
world_annam;Annam;;;;;;;;;;;;;x
world_balhae;Balhae;;;;;;;;;;;;;x
world_borneo;Borneo;;;;;;;;;;;;;x
world_burma;Burma;;;;;;;;;;;;;x
world_champa;Champa;;;;;;;;;;;;;x
world_china;China;;;;;;;;;;;;;x
world_china_central;Central China;;;;;;;;;;;;;x
world_china_north;Northern China;;;;;;;;;;;;;x
world_china_south;Southern China;;;;;;;;;;;;;x
world_far_east;Far East;;;;;;;;;;;;;x
world_greater_japan;Greater Japan;;;;;;;;;;;;;x
world_heilongjiang;Heilongjiang;;;;;;;;;;;;;x
world_hokkaido;Hokkaido;;;;;;;;;;;;;x
world_honshu;Honshu;;;;;;;;;;;;;x
world_japan;Japan;;;;;;;;;;;;;x
world_java;Java;;;;;;;;;;;;;x
world_khmer;Khmer;;;;;;;;;;;;;x
world_korea;Korea;;;;;;;;;;;;;x
world_kyushu;Kyushu;;;;;;;;;;;;;x
world_maian_archipelago;Ma-i-an Archipelago;;;;;;;;;;;;;x
world_mainland_southeast_asia;Manland South-East Asia;;;;;;;;;;;;;x
world_malaya;Malaya;;;;;;;;;;;;;x
world_maritime_southeast_asia;Maritime South-East Asia;;;;;;;;;;;;;x
world_middle_east_mesopotamia;Mesopotamia;;;;;;;;;;;;;x
world_mongolia;Mongolia;;;;;;;;;;;;;x
world_natuna;Natuna;;;;;;;;;;;;;x
world_nusantara;Nusantara;;;;;;;;;;;;;x
world_ryukyu;Ryukyu;;;;;;;;;;;;;x
world_sakhalin;Sakhalin;;;;;;;;;;;;;x
world_shikoku;Shikoku;;;;;;;;;;;;;x
world_southeast_asia;South-East Asia;;;;;;;;;;;;;x
world_sulawesi;Sulawesi;;;;;;;;;;;;;x
world_sumatra;Sumatra;;;;;;;;;;;;;x
world_taiwan;Taiwan;;;;;;;;;;;;;x
world_vietnam;Vietnam;;;;;;;;;;;;;x
# Custom regions
custom_bashu_chinese;Ba-Shu;;;;;;;;;;;;;x
custom_gan_chinese;Gan;;;;;;;;;;;;;x
custom_hakka_chinese;Hakka;;;;;;;;;;;;;x
custom_han_chinese;Han;;;;;;;;;;;;;x
custom_lanna;Khon Mueang;;;;;;;;;;;;;x
custom_lao;Lao;;;;;;;;;;;;;x
custom_min_chinese;Min;;;;;;;;;;;;;x
custom_paktai;Pak Tai;;;;;;;;;;;;;x
custom_shan;Shan;;;;;;;;;;;;;x
custom_thai;Thai;;;;;;;;;;;;;x
custom_wu_chinese;Wu;;;;;;;;;;;;;x
custom_xiang_chinese;Xiang;;;;;;;;;;;;;x
custom_yue_chinese;Yue;;;;;;;;;;;;;x
custom_lcr;Lech, Czech, and Rus';;;;;;;;;;;;;x
custom_russian_empire;Russian Empire;;;;;;;;;;;;;x
# Roman provinces
roman_thrace;Thrace (Roman province);;;;;;;;;;;;;x
roman_moesia_inferior;Moesia Inferior (Roman province);;;;;;;;;;;;;x
roman_moesia_superior;Moesia Superior (Roman province);;;;;;;;;;;;;x
roman_macedonia;Macedonia (Roman province);;;;;;;;;;;;;x
roman_epirus;Epirus (Roman province);;;;;;;;;;;;;x
roman_achaia;Achaia (Roman province);;;;;;;;;;;;;x
roman_crete_et_cyrenaica;Crete et Cyrenaica (Roman province);;;;;;;;;;;;;x
roman_aegyptus;Aegyptus (Roman province);;;;;;;;;;;;;x
roman_arabia_petraea;Arabia Petraea (Roman province);;;;;;;;;;;;;x
roman_syria_palaestina;Syria Palaestina (Roman province);;;;;;;;;;;;;x
roman_taurica;Taurica (Roman province);;;;;;;;;;;;;x
roman_asia;Asia (Roman province);;;;;;;;;;;;;x
roman_bithynia_et_pontus;Bithynia et Pontus (Roman province);;;;;;;;;;;;;x
roman_lycia_et_pamphylia;Lycia et Pamphylia (Roman province);;;;;;;;;;;;;x
roman_galatia;Galatia (Roman province);;;;;;;;;;;;;x
roman_cilica;Cilicia (Roman province);;;;;;;;;;;;;x
roman_cyprus;Cyprus (Roman province);;;;;;;;;;;;;x
roman_cappadocia;Cappadocia (Roman province);;;;;;;;;;;;;x
roman_colchis;Colchis (Roman province);;;;;;;;;;;;;x
roman_armenia;Armenia (Roman province);;;;;;;;;;;;;x
roman_iberia;Iberia (Roman province);;;;;;;;;;;;;x
roman_albania;Albania (Roman province);;;;;;;;;;;;;x
roman_syria;Syria (Roman province);;;;;;;;;;;;;x
roman_africa;Africa (Roman province);;;;;;;;;;;;;x
roman_sicilia;Sicilia (Roman province);;;;;;;;;;;;;x
roman_italia;Italia (Roman province);;;;;;;;;;;;;x
roman_corsica_et_sardinia;Corsica et Sardinia (Roman province);;;;;;;;;;;;;x
roman_alpes_graiae_et_poeninae;Aples Gaiae et Poeninae (Roman province);;;;;;;;;;;;;x
roman_alpes_cottiae;Alpes Cottiae (Roman province);;;;;;;;;;;;;x
roman_alpes_maritimae;Alpes Maritimae (Roman province);;;;;;;;;;;;;x
roman_dalmatia;Dalmatia (Roman province);;;;;;;;;;;;;x
roman_pannonia_inferior;Pannonia Inferior (Roman province);;;;;;;;;;;;;x
roman_pannonia_superior;Pannonia Superior (Roman province);;;;;;;;;;;;;x
roman_noricum;Noricum (Roman province);;;;;;;;;;;;;x
roman_mauretania_caesariensis;Mauretania Caesariensis (Roman province);;;;;;;;;;;;;x
roman_mauretania_tingitana;Mauretania Tingitana (Roman province);;;;;;;;;;;;;x
roman_gallia_narbonensis;Gallia Narbonensis (Roman province);;;;;;;;;;;;;x
roman_gallia_aquitania;Gallia Aquitania (Roman province);;;;;;;;;;;;;x
roman_gallia_lugdunensis;Gallia Lugdunensis (Roman province);;;;;;;;;;;;;x
roman_gallia_belgica;Gallia Belgica (Roman province);;;;;;;;;;;;;x
roman_raetia;Raetia (Roman province);;;;;;;;;;;;;x
roman_germania_superior;Germania Superior (Roman province);;;;;;;;;;;;;x
roman_germania_inferior;Germania Inferior (Roman province);;;;;;;;;;;;;x
roman_germania_magna;Germania Magna (Roman province);;;;;;;;;;;;;x
roman_dacia;Dacia (Roman province);;;;;;;;;;;;;x
roman_iazygea;Iazygea (Roman province);;;;;;;;;;;;;x
roman_scandinavia;Scandinavia (Roman province);;;;;;;;;;;;;x
roman_fennia;Fennia (Roman province);;;;;;;;;;;;;x
roman_baltica;Baltica (Roman province);;;;;;;;;;;;;x
roman_thule;Thule (Roman province);;;;;;;;;;;;;x
roman_hibernia;Hibernia (Roman province);;;;;;;;;;;;;x
roman_britannia;Britannia (Roman province);;;;;;;;;;;;;x
roman_manavia;Manavia (Roman province);;;;;;;;;;;;;x
roman_caledonia;Caledonia (Roman province);;;;;;;;;;;;;x
roman_lusitania;Lusitania (Roman province);;;;;;;;;;;;;x
roman_hispania_baetica;Hispania Baetica (Roman province);;;;;;;;;;;;;x
roman_hispania_tarraconensis;Hispania Tarraconensis (Roman province);;;;;;;;;;;;;x
roman_mesopotamia;Mesopotamia (Roman province);;;;;;;;;;;;;x
roman_mauretania_purpurea;Mauretania Purpurea (Roman province);;;;;;;;;;;;;x
roman_aethiopia_erythraea;Aethiopia Erythraea (Roman province);;;;;;;;;;;;;x
roman_arabia_magna;Arabia Magna (Roman province);;;;;;;;;;;;;x
roman_media;Media (Roman province);;;;;;;;;;;;;x
roman_susiana;Susiana (Roman province);;;;;;;;;;;;;x
roman_persis;Persis (Roman province);;;;;;;;;;;;;x
roman_parthia;Parthia (Roman province);;;;;;;;;;;;;x
roman_carmania;Carmania (Roman province);;;;;;;;;;;;;x
roman_arachosia;Arachosia (Roman province);;;;;;;;;;;;;x
roman_bactria;Bactria (Roman province);;;;;;;;;;;;;x
roman_transoxiana;Transoxiana (Roman province);;;;;;;;;;;;;x
roman_alania;Alania (Roman province);;;;;;;;;;;;;x
roman_himalaia;Himalaia (Roman province);;;;;;;;;;;;;x
roman_sakae;Sakae (Roman province);;;;;;;;;;;;;x
roman_tocharia;Tocharia (Roman province);;;;;;;;;;;;;x
roman_india_proxima;India Proxima (Roman province);;;;;;;;;;;;;x
roman_india_australis;India Australis (Roman province);;;;;;;;;;;;;x
roman_india_ultima;India Ultima (Roman province);;;;;;;;;;;;;x
roman_serica;Serica (Roman province);;;;;;;;;;;;;x
roman_sinae;Sinae (Roman province);;;;;;;;;;;;;x
roman_insula_pulchra;Insula Pulchra (Roman province);;;;;;;;;;;;;x
roman_corea;Corea (Roman province);;;;;;;;;;;;;x
roman_iaponia;Iaponia (Roman province);;;;;;;;;;;;;x
roman_arabia_felix;Arabia Felix (Roman province);;;;;;;;;;;;;x
roman_aethiopia_interior;Aethiopia Interior (Roman province);;;;;;;;;;;;;x
roman_aethiopia_hesperis;Aethiopia Hesperis (Roman province);;;;;;;;;;;;;x
roman_sarmatia;Sarmatia (Roman province);;;;;;;;;;;;;x
roman_riphaea;Riphaea (Roman province);;;;;;;;;;;;;x
roman_khazaria;Khazaria (Roman province);;;;;;;;;;;;;x
roman_hyperborea;Hyperborea (Roman province);;;;;;;;;;;;;x
roman_dahae;Dahae (Roman province);;;;;;;;;;;;;x
roman_scythia;Scythia (Roman province);;;;;;;;;;;;;x
roman_rourania;Rourania (Roman province);;;;;;;;;;;;;x
roman_draconis_nigri;Draconis Nigri (Roman province);;;;;;;;;;;;;x
roman_insulae_erythraea;Insulae Erythraea (Roman province);;;;;;;;;;;;;x
roman_taprobana;Taprobana (Roman province);;;;;;;;;;;;;x
roman_doanas;Doanas (Roman province);;;;;;;;;;;;;x
roman_cottiaris;Cottiaris (Roman province);;;;;;;;;;;;;x
roman_cattigara;Cattigara (Roman province);;;;;;;;;;;;;x
roman_chersonesus_aurea;Chersonesus Aurea (Roman province);;;;;;;;;;;;;x
roman_insulae_aureae;Insulae Aureae (Roman province);;;;;;;;;;;;;x
roman_argyra;Argyra (Roman province);;;;;;;;;;;;;x
roman_insulae_orientales;Insulae Orientales (Roman province);;;;;;;;;;;;;x
trajans_borders;Trajan's borders (approximate);;;;;;;;;;;;;x
# Struggle for India
india_struggle_lahore;Lahore;;;;;;;;;;;;;x
india_struggle_upper_indus;Upper Indus;;;;;;;;;;;;;x
india_struggle_lower_indus;Lower Indus;;;;;;;;;;;;;x
india_struggle_thar;Thar Desert;;;;;;;;;;;;;x
india_struggle_kathiawar;Kathiawar Peninsula;;;;;;;;;;;;;x
india_struggle_west_deccan_coast;Western Deccan Coast;;;;;;;;;;;;;x
india_struggle_tamil;Tamil Coast;;;;;;;;;;;;;x
india_struggle_lanka;Lanka;;;;;;;;;;;;;x
india_struggle_north_karnataka_plateau;Northern Karnataka Plateau;;;;;;;;;;;;;x
india_struggle_south_karnataka_plateau;Southern Karnataka Plateau;;;;;;;;;;;;;x
india_struggle_west_maharashtra_plateau;Western Maharashtra Plateau;;;;;;;;;;;;;x
india_struggle_east_maharashtra_plateau;Eastern Maharashtra Plateau;;;;;;;;;;;;;x
india_struggle_telingana_plateau;Telingana Plateau;;;;;;;;;;;;;x
india_struggle_andhra;Andhra;;;;;;;;;;;;;x
india_struggle_utkal;Utkal;;;;;;;;;;;;;x
india_struggle_ganga_yamuna_doab;Ganga-Yamuna Doab;;;;;;;;;;;;;x
india_struggle_north_ganges_plain;Northern Gangetic Plain;;;;;;;;;;;;;x
india_struggle_bihar_plains;Bihar Plains;;;;;;;;;;;;;x
india_struggle_narmada_valley;Narmada Valley;;;;;;;;;;;;;x
india_struggle_chambal;Chambal Basin;;;;;;;;;;;;;x
india_struggle_jejakabhukti_plateau;Jejakabhukti Plateau;;;;;;;;;;;;;x
india_struggle_dandakaranya_mahanadi;Dandakaranya-Mahanadi;;;;;;;;;;;;;x
india_struggle_upper_brahmaputra;Upper Brahmaputra;;;;;;;;;;;;;x
india_struggle_jharkand;Jharkand;;;;;;;;;;;;;x
india_struggle_lower_bengal_basin;Lower Benal Basin;;;;;;;;;;;;;x
india_struggle_upper_bengal_basin;Upper Bengal Basin;;;;;;;;;;;;;x
